日付,カテゴリ,分類,メモ,金額
2017年7月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"234,117 "
2017年7月6日,ローン,UFJ,ローン,"-68,086 "
2017年7月6日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2017年7月8日,その他,UFJ,三井アウトレットパーク木更津 6029111210534,"-4,935 "
2017年7月9日,電話,UFJ,NTT東日本 ご利用料金 07ガツブン,"-2,151 "
2017年7月10日,ATM引き出し,UFJ,イオンギンコウ,"-20,000 "
2017年7月10日,カード返済,UFJ,カ)クレデイセゾン,"-8,820 "
2017年7月15日,ガソリン,UFJ,シヨウワシエルセキユ,"-5,539 "
2017年7月17日,管理費,UFJ,RKS(カンリヒトウ,"-20,170 "
2017年7月17日,ガソリン,UFJ,ナガヌマ エスエス,"-3,464 "
2017年7月18日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2017年7月21日,ガス,UFJ,トウキヨウガス 1195-614,"-9,912 "
2017年7月26日,保険,UFJ,ソンポジヤパン,"-3,450 "
2017年7月26日,インターネット,UFJ,ヤフージャパン,-498 
2017年7月27日,ローン,UFJ,ニツサンフイナンシヤルS,"-27,072 "
2017年7月27日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2017年7月28日,管理費,UFJ,RKS(カンリヒトウ,"-20,170 "
2017年7月31日,携帯電話,UFJ,ドコモご利用料金 08ガツブン,"-14,594 "
2017年7月31日,水道,UFJ,チバケンスイドウ,"-7,180 "
2017年7月31日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580 "
2017年8月1日,保険,UFJ,ケンミンキヨウサイ セ,"34,404 "
2017年8月2日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,000 "
2017年8月4日,給料,UFJ,シンワツウシンコウギヨウ(カ,"505,552 "
2017年8月5日,ATM引き出し,UFJ,ATM 引き出し,"-85,000 "
2017年8月5日,カード返済,UFJ,ラクテンカードサービス,"-50,490 "
2017年8月5日,その他,UFJ,ヤマザキ ユウキ,"-10,000 "
2017年8月5日,ガソリン,UFJ,ナガヌマ エスエス,"-4,590 "
2017年8月7日,ローン,UFJ,ローン,"-68,086 "
2017年8月9日,電話,UFJ,NTT東日本 ご利用料金 08ガツブン,"-2,151 "
2017年8月11日,税金,UFJ,チバシコテイ,"-22,000 "
2017年8月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2017年8月15日,食費,UFJ,ギユウカク ミヤノギテン,"-8,542 "
2017年8月16日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2017年8月16日,車,UFJ,シンシアモール 楽天市場店760017,"-9,275 "
2017年8月19日,その他,UFJ,ヤフーウォレットケッサイ ヤフーチ,"-6,648 "
2017年8月19日,ガソリン,UFJ,ナガヌマ エスエス,"-5,725 "
2017年8月22日,ATM引き出し,UFJ,イオンギンコウ,"-10,000 "
2017年8月22日,手数料,UFJ,手数料,-108 
2017年8月23日,ガス,UFJ,トウキヨウガス 1195-614,"-10,012 "
2017年8月27日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2017年8月28日,カード返済,UFJ,ラクテンカードサービス,"-44,193 "
2017年8月28日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2017年8月28日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2017年8月28日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2017年8月28日,保険,UFJ,ソンポジヤパン,"-2,650 "
2017年8月28日,インターネット,UFJ,ヤフージャパン,-498 
2017年8月29日,その他,UFJ,東海メガネ・コンタクト750001,"-3,380 "
2017年8月31日,携帯電話,UFJ,ドコモご利用料金 09ガツブン,"-14,831 "
2017年8月31日,水道,UFJ,ゲスイシヨウリヨウ,"-4,488 "
2017年8月31日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580 "
2017年9月2日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,000 "
2017年9月2日,ガソリン,UFJ,ナガヌマ エスエス,"-4,593 "
2017年9月3日,ATM引き出し,UFJ,ATM 引き出し,"-10,000 "
2017年9月4日,カード返済,UFJ,セゾン,"-1,010 "
2017年9月5日,その他,UFJ,ヤマザキ ユウキ,"-12,000 "
2017年9月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"262,684 "
2017年9月6日,ローン,UFJ,ローン,"-68,086 "
2017年9月6日,ATM引き出し,UFJ,ATM 引き出し,"-60,000 "
2017年9月9日,電話,UFJ,NTT東日本 ご利用料金 09ガツブン,"-2,197 "
2017年9月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2017年9月15日,その他,UFJ,通信販売専門店コクーン770006,"-3,861 "
2017年9月16日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2017年9月16日,手数料,UFJ,手数料,-216 
2017年9月21日,ガス,UFJ,トウキヨウガス 1195-614,"-11,344 "
2017年9月23日,その他,UFJ,WWW.GROUPON.JP,"-3,920 "
2017年9月24日,ガソリン,UFJ,ナガヌマ エスエス,"-4,925 "
2017年9月26日,保険,UFJ,ソンポジヤパン,"-2,650 "
2017年9月26日,インターネット,UFJ,ヤフージャパン,-498 
2017年9月27日,カード返済,UFJ,ラクテンカードサービス,"-65,117 "
2017年9月27日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2017年9月27日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2017年9月28日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2017年9月29日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2017年9月29日,水道,UFJ,チバケンスイドウ,"-7,440 "
2017年9月30日,携帯電話,UFJ,ドコモご利用料金 10ガツブン,"-14,572 "
2017年9月30日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,000 "
2017年9月30日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580 "
2017年10月1日,食費,UFJ,スタミナタロウ チバキタテン,"-4,785 "
2017年10月3日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2017年10月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"233,107 "
2017年10月6日,ローン,UFJ,ローン,"-68,086 "
2017年10月6日,その他,UFJ,ヤマザキ ユウキ,"-10,000 "
2017年10月7日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2017年10月9日,ガソリン,UFJ,ナガヌマ エスエス,"-3,807 "
2017年10月9日,電話,UFJ,NTT東日本 ご利用料金 10ガツブン,"-2,152 "
2017年10月14日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2017年10月14日,手数料,UFJ,手数料,-216 
2017年10月16日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2017年10月16日,その他,UFJ,スクールアイテム専門店カワトー750006,"-6,264 "
2017年10月23日,ガス,UFJ,トウキヨウガス 1195-614,"-10,493 "
2017年10月26日,その他,UFJ,QOO10 JAPAN,"-2,980 "
2017年10月26日,保険,UFJ,ソンポジヤパン,"-2,650 "
2017年10月26日,インターネット,UFJ,ヤフージャパン,-498 
2017年10月27日,カード返済,UFJ,ラクテンカードサービス,"-52,631 "
2017年10月27日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2017年10月27日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2017年10月28日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,000 "
2017年10月30日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2017年10月31日,携帯電話,UFJ,ドコモご利用料金 11ガツブン,"-14,745 "
2017年10月31日,水道,UFJ,ゲスイシヨウリヨウ,"-4,652 "
2017年10月31日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580 "
2017年11月2日,給料,UFJ,シンワツウシンコウギヨウ(カ,"270,824 "
2017年11月3日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2017年11月3日,その他,UFJ,アベイル,"-4,240 "
2017年11月3日,その他,UFJ,イオンモールキサラヅ,"-3,564 "
2017年11月3日,その他,UFJ,イオンモールキサラヅ,"-3,000 "
2017年11月6日,ローン,UFJ,ローン,"-68,086 "
2017年11月6日,カード返済,UFJ,セゾン,"-2,690 "
2017年11月7日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2017年11月7日,手数料,UFJ,手数料,-108 
2017年11月9日,電話,UFJ,NTT東日本 ご利用料金 11ガツブン,"-2,152 "
2017年11月12日,その他,UFJ,ニトリ ネツト,"-13,981 "
2017年11月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2017年11月17日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2017年11月18日,ATM引き出し,UFJ,イオンギンコウ,"-30,000 "
2017年11月18日,ガソリン,UFJ,ナガヌマ エスエス,"-3,933 "
2017年11月18日,灯油,UFJ,ナガヌマ エスエス,"-1,296 "
2017年11月18日,手数料,UFJ,手数料,-108 
2017年11月21日,ガス,UFJ,トウキヨウガス 1195-614,"-11,815 "
2017年11月25日,灯油,UFJ,ナガヌマ エスエス,"-1,332 "
2017年11月26日,ATM引き出し,UFJ,ATM 引き出し,"-10,000 "
2017年11月26日,手数料,UFJ,手数料,-216 
2017年11月27日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2017年11月27日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2017年11月27日,保険,UFJ,ソンポジヤパン,"-2,650 "
2017年11月27日,インターネット,UFJ,ヤフージャパン,-498 
2017年11月28日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2017年11月28日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,000 "
2017年11月29日,ATM引き出し,UFJ,ATM 引き出し,"-10,000 "
2017年11月29日,水道,UFJ,チバケンスイドウ,"-7,700 "
2017年11月30日,携帯電話,UFJ,ドコモご利用料金 12ガツブン,"-14,648 "
2017年11月30日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580 "
2017年12月3日,その他,UFJ,ネツトプリントジヤパン,"-5,440 "
2017年12月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"362,475 "
2017年12月6日,ローン,UFJ,ローン,"-68,086 "
2017年12月6日,ATM引き出し,UFJ,ATM 引き出し,"-50,000 "
2017年12月6日,その他,UFJ,ヤマザキ ユウキ,"-5,000 "
2017年12月8日,カード返済,UFJ,ラクテンカードサービス,"-48,764 "
2017年12月9日,ATM引き出し,UFJ,ATM 引き出し,"-50,000 "
2017年12月9日,その他,UFJ,ワークマン,"-12,700 "
2017年12月9日,食費,UFJ,MEGAドン・キホーテ四街道店 6593300217009 38403,"-7,053 "
2017年12月9日,その他,UFJ,アベイル,"-4,980 "
2017年12月9日,その他,UFJ,アベイル,"-4,260 "
2017年12月9日,電話,UFJ,NTT東日本 ご利用料金 12ガツブン,"-2,152 "
2017年12月10日,灯油,UFJ,ナガヌマ エスエス,"-2,772 "
2017年12月13日,その他,UFJ,ヤマザキ ユウキ,"-200,000 "
2017年12月13日,振込手数料,UFJ,フリコミ テスウリヨウ,-324 
2017年12月13日,収入,UFJ,Jホケンキン アイオイN,"672,300 "
2017年12月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2017年12月15日,ボーナス,UFJ,シンワツウシンコウギヨウ(カ,"517,886 "
2017年12月17日,ATM引き出し,UFJ,ATM 引き出し,"-200,000 "
2017年12月17日,ATM引き出し,UFJ,ATM 引き出し,"-100,000 "
2017年12月17日,手数料,UFJ,手数料,-216 
2017年12月17日,手数料,UFJ,手数料,-216 
2017年12月20日,ガス,UFJ,トウキヨウガス 1195-614,"-12,263 "
2017年12月23日,ガソリン,UFJ,ナガヌマ エスエス,"-4,743 "
2017年12月24日,灯油,UFJ,ナガヌマ エスエス,"-1,422 "
2017年12月25日,税金,UFJ,チバシコテイ,"-22,000 "
2017年12月26日,保険,UFJ,ソンポジヤパン,"-2,650 "
2017年12月26日,インターネット,UFJ,ヤフージャパン,-498 
2017年12月27日,カード返済,UFJ,ラクテンカードサービス,"-63,638 "
2017年12月27日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2017年12月27日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2017年12月28日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2017年12月28日,給料,UFJ,シンワツウシンコウギヨウ(カ,"362,687 "
2017年12月30日,ガソリン,UFJ,ナガヌマ エスエス,"-5,099 "
2017年12月31日,携帯電話,UFJ,ドコモご利用料金 01ガツブン,"-17,229 "
2017年12月31日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580 "
2018年1月1日,ATM引き出し,UFJ,ATM 引き出し,"-50,000 "
2018年1月1日,手数料,UFJ,手数料,-216 
2018年1月4日,振替,UFJ,ヤマザキ ミチコ,"-500,000 "
2018年1月4日,水道,UFJ,ゲスイシヨウリヨウ,"-4,816 "
2018年1月6日,ATM引き出し,UFJ,ATM 引き出し,"-50,000 "
2018年1月6日,ガソリン,UFJ,ナガヌマ エスエス,"-3,074 "
2018年1月6日,灯油,UFJ,ナガヌマ エスエス,"-2,844 "
2018年1月7日,医療,UFJ,LENSMODE,"-9,880 "
2018年1月9日,ローン,UFJ,ローン,"-68,086 "
2018年1月9日,電話,UFJ,NTT東日本 ご利用料金 01ガツブン,"-2,170 "
2018年1月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2018年1月16日,駐車場,UFJ,カイヒンフドウサン(カ,"-16,000 "
2018年1月17日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2018年1月21日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2018年1月23日,ガス,UFJ,トウキヨウガス 1195-614,"-13,096 "
2018年1月23日,その他,UFJ,ゴーカートオンラインシヨツプ,"-2,562 "
2018年1月23日,灯油,UFJ,ナガヌマ エスエス,"-1,566 "
2018年1月26日,保険,UFJ,ソンポジヤパン,"-2,650 "
2018年1月26日,灯油,UFJ,ナガヌマ エスエス,"-1,566 "
2018年1月29日,カード返済,UFJ,ラクテンカードサービス,"-68,849 "
2018年1月29日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2018年1月29日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2018年1月29日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2018年1月31日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2018年1月31日,携帯電話,UFJ,ドコモご利用料金 02ガツブン,"-6,948 "
2018年1月31日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580 "
2018年2月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"276,179 "
2018年2月6日,ローン,UFJ,ローン,"-68,086 "
2018年2月9日,電話,UFJ,NTT東日本 ご利用料金 02ガツブン,"-2,169 "
2018年2月10日,ATM引き出し,UFJ,ATM 引き出し,"-40,000 "
2018年2月10日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,000 "
2018年2月10日,ガソリン,UFJ,ナガヌマ エスエス,"-5,247 "
2018年2月11日,その他,UFJ,QOO10 JAPAN,"-4,730 "
2018年2月12日,灯油,UFJ,ナガヌマ エスエス,"-3,204 "
2018年2月13日,ATM入金,UFJ,ATM 入金,"70,000 "
2018年2月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2018年2月16日,水道,UFJ,ケンスイドウキヨク,"-12,940 "
2018年2月18日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2018年2月19日,医療,UFJ,Jトレード770006,"-6,780 "
2018年2月19日,利息,UFJ,スーパーフツウ,1 
2018年2月20日,ガス,UFJ,トウキヨウガス 1195-614,"-14,162 "
2018年2月25日,ATM引き出し,UFJ,ATM 引き出し,"-10,000 "
2018年2月25日,ガソリン,UFJ,ナガヌマ エスエス,"-3,295 "
2018年2月26日,保険,UFJ,ソンポジヤパン,"-2,650 "
2018年2月27日,カード返済,UFJ,ラクテンカードサービス,"-69,830 "
2018年2月27日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2018年2月27日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2018年2月28日,税金,UFJ,チバシコテイ,"-22,000 "
2018年2月28日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2018年2月28日,携帯電話,UFJ,ドコモご利用料金 03ガツブン,"-17,114 "
2018年2月28日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580 "
2018年3月3日,その他,UFJ,テックランド 八千代店 5911051079597,"-3,272 "
2018年3月5日,カード返済,UFJ,セゾン,"-5,130 "
2018年3月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"272,613 "
2018年3月6日,ローン,UFJ,ローン,"-68,086 "
2018年3月6日,ATM引き出し,UFJ,ATM 引き出し,"-50,000 "
2018年3月9日,電話,UFJ,NTT東日本 ご利用料金 03ガツブン,"-2,151 "
2018年3月10日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,000 "
2018年3月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2018年3月17日,ガソリン,UFJ,ナガヌマ エスエス,"-4,781 "
2018年3月22日,ガス,UFJ,トウキヨウガス 1195-614,"-11,736 "
2018年3月26日,保険,UFJ,ソンポジヤパン,"-2,650 "
2018年3月27日,カード返済,UFJ,ラクテンカードサービス,"-50,115 "
2018年3月27日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2018年3月27日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2018年3月28日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2018年3月31日,携帯電話,UFJ,ドコモご利用料金 04ガツブン,"-18,059 "
2018年3月31日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580 "
2018年4月1日,食費,UFJ,すたみな太郎 千葉北店 4971156011291 14019,"-4,381 "
2018年4月4日,カード返済,UFJ,セゾン,-890 
2018年4月5日,ATM引き出し,UFJ,ATM 引き出し,"-40,000 "
2018年4月5日,手数料,UFJ,手数料,-108 
2018年4月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"244,017 "
2018年4月6日,ローン,UFJ,ローン,"-68,086 "
2018年4月6日,医療,UFJ,LENSMODE,"-4,560 "
2018年4月8日,ガソリン,UFJ,ナガヌマ エスエス,"-5,106 "
2018年4月9日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,000 "
2018年4月9日,電話,UFJ,NTT東日本 ご利用料金 04ガツブン,"-2,151 "
2018年4月14日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2018年4月15日,その他,UFJ,AMAZON.CO.JP,"-1,560 "
2018年4月16日,水道,UFJ,ケンスイドウキヨク,"-10,810 "
2018年4月16日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2018年4月19日,ガス,UFJ,トウキヨウガス 1195-614,"-11,440 "
2018年4月21日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2018年4月26日,保険,UFJ,ソンポジヤパン,"-2,650 "
2018年4月27日,カード返済,UFJ,ラクテンカードサービス,"-42,634 "
2018年4月27日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2018年4月27日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2018年4月30日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2018年4月30日,携帯電話,UFJ,ドコモご利用料金 05ガツブン,"-17,960 "
2018年4月30日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580 "
2018年5月1日,税金,UFJ,チバシコテイ,"-23,100 "
2018年5月1日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2018年5月2日,その他,UFJ,ヤフーショッピング ラジェム,"-1,280 "
2018年5月2日,給料,UFJ,シンワツウシンコウギヨウ(カ,"250,680 "
2018年5月3日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2018年5月3日,駐車場,UFJ,カイヒンフドウサンカブシキ,"-8,640 "
2018年5月3日,ガソリン,UFJ,ENEOS-SS,"-4,347 "
2018年5月7日,ローン,UFJ,ローン,"-68,398 "
2018年5月7日,カード返済,UFJ,セゾン,"-3,010 "
2018年5月9日,電話,UFJ,NTT東日本 ご利用料金 05ガツブン,"-2,151 "
2018年5月10日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,000 "
2018年5月10日,医療,UFJ,シグマコンタクト,"-3,042 "
2018年5月12日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2018年5月12日,ガソリン,UFJ,ナガヌマ エスエス,"-3,155 "
2018年5月12日,その他,UFJ,東海メガネ・コンタクト740001,"-2,900 "
2018年5月12日,手数料,UFJ,手数料,-216 
2018年5月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2018年5月19日,その他,UFJ,AMAZON.CO.JP,"-1,999 "
2018年5月20日,税金,UFJ,チバケンジドウシヤゼイ,"-39,500 "
2018年5月20日,税金,UFJ,システムリヨウリヨウ チバケンセ,-324 
2018年5月21日,ATM引き出し,UFJ,イオンギンコウ,"-6,000 "
2018年5月22日,ガス,UFJ,トウキヨウガス 1195-614,"-11,095 "
2018年5月28日,カード返済,UFJ,ラクテンカードサービス,"-50,837 "
2018年5月28日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2018年5月28日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2018年5月28日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2018年5月28日,保険,UFJ,ソンポジヤパン,"-2,650 "
2018年5月31日,携帯電話,UFJ,ドコモご利用料金 06ガツブン,"-17,982 "
2018年5月31日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580 "
2018年6月2日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2018年6月3日,その他,UFJ,ワークマン,"-6,780 "
2018年6月3日,その他,UFJ,ワークマン,"-3,300 "
2018年6月4日,振替,UFJ,ヤマザキ ミチコ,"100,000 "
2018年6月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"234,112 "
2018年6月6日,ローン,UFJ,ローン,"-68,398 "
2018年6月8日,ATM引き出し,UFJ,ATM 引き出し,"-50,000 "
2018年6月9日,電話,UFJ,NTT東日本 ご利用料金 06ガツブン,"-2,172 "
2018年6月11日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,000 "
2018年6月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2018年6月18日,水道,UFJ,ケンスイドウキヨク,"-9,816 "
2018年6月18日,車,UFJ,JAFネンカイヒ,"-4,000 "
2018年6月20日,ガス,UFJ,トウキヨウガス 1195-614,"-10,442 "
2018年6月23日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2018年6月23日,その他,UFJ,AMAZON.CO.JP,"-2,360 "
2018年6月26日,保険,UFJ,ソンポジヤパン,"-2,650 "
2018年6月27日,カード返済,UFJ,ラクテンカードサービス,"-91,333 "
2018年6月27日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2018年6月27日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2018年6月28日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2018年6月30日,携帯電話,UFJ,ドコモご利用料金 07ガツブン,"-17,960 "
2018年6月30日,その他,UFJ,GRL,"-3,597 "
2018年6月30日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580 "
2018年7月1日,ATM引き出し,UFJ,ATM 引き出し,"-10,000 "
2018年7月1日,ガソリン,UFJ,ナガヌマ エスエス,"-6,752 "
2018年7月4日,カード返済,UFJ,セゾン,"-6,130 "
2018年7月5日,ATM引き出し,UFJ,ATM 引き出し,"-50,000 "
2018年7月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"257,029 "
2018年7月6日,ローン,UFJ,ローン,"-68,398 "
2018年7月6日,その他,UFJ,QOO10 JAPAN,"-1,460 "
2018年7月6日,その他,UFJ,WWW.ALIEXPRESS.COM 利用国GB,-315 
2018年7月6日,その他,UFJ,WWW.ALIEXPRESS.COM 利用国GB,-290 
2018年7月6日,その他,UFJ,WWW.ALIEXPRESS.COM 利用国GB,-193 
2018年7月9日,電話,UFJ,NTT東日本 ご利用料金 07ガツブン,"-2,151 "
2018年7月12日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,000 "
2018年7月16日,ATM引き出し,UFJ,ATM 引き出し,"-20,000 "
2018年7月16日,手数料,UFJ,手数料,-216 
2018年7月17日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2018年7月17日,ボーナス,UFJ,シンワツウシンコウギヨウ(カ,"636,954 "
2018年7月21日,振替,UFJ,ヤマザキ ミチコ,"-300,000 "
2018年7月21日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2018年7月21日,ガソリン,UFJ,ナガヌマ エスエス,"-4,577 "
2018年7月23日,ガス,UFJ,トウキヨウガス 1195-614,"-9,627 "
2018年7月26日,保険,UFJ,ソンポジヤパン,"-2,990 "
2018年7月27日,カード返済,UFJ,ラクテンカードサービス,"-50,213 "
2018年7月27日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2018年7月27日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2018年7月27日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2018年7月30日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2018年7月31日,ATM引き出し,UFJ,ATM 引き出し,"-100,000 "
2018年7月31日,税金,UFJ,チバシコテイ,"-22,000 "
2018年7月31日,携帯電話,UFJ,ドコモご利用料金 08ガツブン,"-17,949 "
2018年7月31日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580 "
2018年7月31日,手数料,UFJ,手数料,-108 
2018年8月1日,保険,UFJ,ケンミンキヨウサイ セ,"36,744 "
2018年8月3日,給料,UFJ,シンワツウシンコウギヨウ(カ,"453,681 "
2018年8月6日,ローン,UFJ,ローン,"-68,398 "
2018年8月8日,その他,UFJ,AMAZON.CO.JP,"-2,400 "
2018年8月9日,電話,UFJ,NTT東日本 ご利用料金 08ガツブン,"-2,169 "
2018年8月10日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,000 "
2018年8月11日,ATM引き出し,UFJ,ATM 引き出し,"-50,000 "
2018年8月11日,ガソリン,UFJ,ナガヌマ エスエス,"-5,634 "
2018年8月12日,ガソリン,UFJ,コスモセキユ,"-6,057 "
2018年8月15日,ATM引き出し,UFJ,ATM 引き出し,"-50,000 "
2018年8月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2018年8月15日,手数料,UFJ,手数料,-108 
2018年8月16日,水道,UFJ,ケンスイドウキヨク,"-10,376 "
2018年8月18日,ガソリン,UFJ,ナガヌマ エスエス,"-5,437 "
2018年8月19日,食費,UFJ,すたみな太郎 千葉北店 4971156011291 01226,"-7,892 "
2018年8月20日,利息,UFJ,スーパーフツウ,1 
2018年8月22日,ガス,UFJ,トウキヨウガス 1195-614,"-11,428 "
2018年8月23日,その他,UFJ,ローソンチケット,"-16,248 "
2018年8月26日,ATM引き出し,UFJ,ATM 引き出し,"-30,000 "
2018年8月27日,カード返済,UFJ,ラクテンカードサービス,"-46,905 "
2018年8月27日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2018年8月27日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2018年8月27日,保険,UFJ,ソンポジヤパン,"-2,990 "
2018年8月28日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2018年8月31日,携帯電話,UFJ,ドコモご利用料金 09ガツブン,"-17,959 "
2018年8月31日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580 "
