日付,カテゴリ,分類,メモ,金額,,
2016/11/4,カード返済,UFJ,セゾン,"-9,520",,
2016/11/5,食費,楽天カード,ジヤパンミートヤチヨテン,"-1,329",,
2016/11/5,灯油,楽天カード,ナガヌマ エスエス,-990,,
2016/11/5,ガソリン,楽天カード,ナガヌマ エスエス,"-5,231",,
2016/11/7,ATM引き出し,UFJ,ATM 引き出し,"-50,000",,
2016/11/7,ローン,UFJ,ローン,"-68,421",,
2016/11/9,電話,楽天カード,NTT東日本 ご利用料金 11ガツブン,"-2,152",,
2016/11/9,その他,楽天カード,東海メガネ・コンタクト760007,"-3,380",,
2016/11/13,灯油,楽天カード,ナガヌマ エスエス,-936,,
2016/11/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2016/11/18,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2016/11/19,その他,楽天カード,イオンリテールストア 0806970000000 00000,"-3,900",,
2016/11/20,その他,楽天カード,AMAZON.CO.JP,"-1,180",,
2016/11/21,ガス,楽天カード,トウキヨウガス 1195-614,"-9,542",,
2016/11/23,高速,セゾンカード,ETC特別割引(袖ヶ浦第二→穴川東),"-1,000",,
2016/11/25,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2016/11/27,灯油,楽天カード,ナガヌマ エスエス,"-1,008",,
2016/11/28,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2016/11/28,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2016/11/28,管理費,UFJ,RKS(カンリヒトウ,"-19,680",,
2016/11/28,保険,UFJ,ソンポジヤパン,"-3,290",,
2016/11/28,インターネット,UFJ,ヤフージャパン,-498,,
2016/11/28,カード返済,UFJ,ラクテンカードサービス,"-60,483",,
2016/11/29,水道,UFJ,チバケンスイドウ,"-5,740",,
2016/11/30,インターネット,楽天カード,インターネツトヒカリ ゲツガク,"-3,580",,
2016/11/30,携帯電話,楽天カード,ドコモご利用料金 12ガツブン,"-14,836",,
2016/12/2,灯油,楽天カード,ナガヌマ エスエス,"-1,062",,
2016/12/3,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2016/12/3,その他,楽天カード,アベイル,"-3,000",,
2016/12/3,ガソリン,楽天カード,ナガヌマ エスエス,"-4,868",,
2016/12/3,その他,楽天カード,フアツシヨンセンター シマムラ,-900,,
2016/12/3,その他,楽天カード,フアツシヨンセンター シマムラ,"-4,800",,
2016/12/4,ATM引き出し,UFJ,リヨウキヨク10592,"-20,000",,
2016/12/4,手数料,UFJ,手数料,-216,,
2016/12/5,給料,UFJ,シンワツウシンコウギヨウ(カ,"416,826",,
2016/12/5,カード返済,UFJ,セゾン,"-1,670",,
2016/12/5,その他,UFJ,ヤマザキ ユウキ,"-100,000",,
2016/12/6,ローン,UFJ,ローン,"-68,421",,
2016/12/6,収入,みずほ ゆーき,ヤマザキ ユウキ,"100,000",,
2016/12/9,電話,楽天カード,NTT東日本 ご利用料金 12ガツブン,"-2,170",,
2016/12/11,その他,楽天カード,AMAZON.CO.JP,"-2,249",,
2016/12/14,ATM引き出し,UFJ,ATM 引き出し,"-100,000",,
2016/12/14,手数料,UFJ,手数料,-108,,
2016/12/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2016/12/18,食費,楽天カード,スタミナタロウ チバキタテン,"-6,784",,
2016/12/20,ガス,楽天カード,トウキヨウガス 1195-614,"-10,396",,
2016/12/26,保険,UFJ,ソンポジヤパン,"-3,290",,
2016/12/26,税金,UFJ,チバシコテイ,"-22,000",,
2016/12/26,インターネット,UFJ,ヤフージャパン,-498,,
2016/12/27,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2016/12/27,カード返済,UFJ,ラクテンカードサービス,"-55,567",,
2016/12/28,管理費,UFJ,RKS(カンリヒトウ,"-19,680",,
2016/12/28,給料,UFJ,シンワツウシンコウギヨウ(カ,"245,622",,
2016/12/31,インターネット,楽天カード,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580",,
2016/12/31,携帯電話,楽天カード,ドコモご利用料金 01ガツブン,"-14,230",,
2016/12/31,灯油,楽天カード,ナガヌマ エスエス,"-1,296",,
2016/12/31,ガソリン,楽天カード,ナガヌマ エスエス,"-5,555",,
2017/1/4,水道,UFJ,ゲスイシヨウリヨウ,"-3,516",,
2017/1/6,ローン,UFJ,ローン,"-68,421",,
2017/1/9,電話,楽天カード,NTT東日本 ご利用料金 01ガツブン,"-2,161",,
2017/1/9,灯油,楽天カード,ナガヌマ エスエス,"-1,296",,
2017/1/16,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2017/1/21,その他,楽天カード,イオンリテール 0006850000000 00000,"-32,420",,
2017/1/22,振替,UFJ,ヤマザキ ソアラ,"-20,000",,
2017/1/22,灯油,楽天カード,ナガヌマ エスエス,"-1,314",,
2017/1/23,ガス,楽天カード,トウキヨウガス 1195-614,"-12,218",,
2017/1/26,保険,UFJ,ソンポジヤパン,"-3,290",,
2017/1/26,インターネット,UFJ,ヤフージャパン,-498,,
2017/1/27,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2017/1/27,カード返済,UFJ,ラクテンカードサービス,"-51,352",,
2017/1/28,その他,楽天カード,スタミナタロウ イチハラテン,"-4,242",,
2017/1/30,管理費,UFJ,RKS(カンリヒトウ,"-20,170",,
2017/1/30,水道,UFJ,チバケンスイドウ,"-6,220",,
2017/1/31,ATM引き出し,UFJ,イオンギンコウ,"-30,000",,
2017/1/31,インターネット,楽天カード,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580",,
2017/1/31,携帯電話,楽天カード,ドコモご利用料金 02ガツブン,"-14,588",,
2017/2/3,給料,UFJ,シンワツウシンコウギヨウ(カ,"297,578",,
2017/2/4,高速,セゾンカード,ETC特別割引(穴川中→富浦),"-1,790",,
2017/2/4,ガソリン,楽天カード,ナガヌマ エスエス,"-4,034",,
2017/2/5,ATM引き出し,UFJ,ATM 引き出し,"-100,000",,
2017/2/5,灯油,楽天カード,ナガヌマ エスエス,"-1,314",,
2017/2/6,カード返済,UFJ,セゾン,"-1,000",,
2017/2/6,ローン,UFJ,ローン,"-68,421",,
2017/2/6,その他,楽天カード,リトルプリンセス730070,"-10,520",,
2017/2/9,電話,楽天カード,NTT東日本 ご利用料金 02ガツブン,"-2,151",,
2017/2/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2017/2/17,その他,楽天カード,ローソンチケット,"-8,876",,
2017/2/20,利息,UFJ,スーパーフツウ,1,,
2017/2/20,ガス,楽天カード,トウキヨウガス 1195-614,"-11,769",,
2017/2/25,その他,楽天カード,イオンリテール 0017900000000 00000,"-4,190",,
2017/2/25,その他,楽天カード,テイージーシートウキヨウ,"-4,309",,
2017/2/25,ガソリン,楽天カード,ナガヌマ エスエス,"-5,144",,
2017/2/26,ATM引き出し,UFJ,ATM 引き出し,"-10,000",,
2017/2/27,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2017/2/27,保険,UFJ,ソンポジヤパン,"-3,290",,
2017/2/27,インターネット,UFJ,ヤフージャパン,-498,,
2017/2/27,カード返済,UFJ,ラクテンカードサービス,"-64,705",,
2017/2/28,管理費,UFJ,RKS(カンリヒトウ,"-20,170",,
2017/2/28,水道,UFJ,ゲスイシヨウリヨウ,"-3,876",,
2017/2/28,税金,UFJ,チバシコテイ,"-22,000",,
2017/2/28,インターネット,楽天カード,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580",,
2017/2/28,携帯電話,楽天カード,ドコモご利用料金 03ガツブン,"-14,221",,
2017/3/3,ATM引き出し,UFJ,ATM 引き出し,"-100,000",,
2017/3/3,給料,UFJ,シンワツウシンコウギヨウ(カ,"267,444",,
2017/3/4,灯油,楽天カード,ナガヌマ エスエス,"-1,332",,
2017/3/6,ローン,UFJ,ローン,"-68,421",,
2017/3/9,電話,楽天カード,NTT東日本 ご利用料金 03ガツブン,"-2,196",,
2017/3/11,その他,楽天カード,イオンリテールストア 0806970000000 00000,"-8,380",,
2017/3/14,その他,楽天カード,フオトスポツト,"-2,100",,
2017/3/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2017/3/16,ATM引き出し,UFJ,ATM 引き出し,"-50,000",,
2017/3/17,その他,楽天カード,シヤブシヤブドンテイチバキ,"-5,102",,
2017/3/17,灯油,楽天カード,ナガヌマ エスエス,"-1,332",,
2017/3/23,ガス,楽天カード,トウキヨウガス 1195-614,"-11,712",,
2017/3/26,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2017/3/26,高速,セゾンカード,ETC特別割引(穴川中→富浦),"-1,790",,
2017/3/27,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2017/3/27,保険,UFJ,ソンポジヤパン,"-3,290",,
2017/3/27,インターネット,UFJ,ヤフージャパン,-498,,
2017/3/27,カード返済,UFJ,ラクテンカードサービス,"-105,808",,
2017/3/31,インターネット,楽天カード,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580",,
2017/3/31,携帯電話,楽天カード,ドコモご利用料金 04ガツブン,"-20,369",,
2017/4/1,灯油,楽天カード,ナガヌマ エスエス,"-1,332",,
2017/4/4,カード返済,UFJ,セゾン,"-1,790",,
2017/4/5,ATM引き出し,UFJ,ATM 引き出し,"-50,000",,
2017/4/5,給料,UFJ,シンワツウシンコウギヨウ(カ,"275,155",,
2017/4/6,ローン,UFJ,ローン,"-65,986",,
2017/4/9,電話,楽天カード,NTT東日本 ご利用料金 04ガツブン,"-2,169",,
2017/4/12,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2017/4/12,その他,楽天カード,ゴーカートオンラインシヨツプ,"-1,500",,
2017/4/13,管理費,UFJ,RKS(カンリヒトウ,"-20,170",,
2017/4/14,食費,楽天カード,ラデイツシユボーヤ,"-3,980",,
2017/4/16,ガソリン,楽天カード,ナガヌマ エスエス,"-6,876",,
2017/4/17,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2017/4/17,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2017/4/17,手数料,UFJ,手数料,-108,,
2017/4/18,水道,UFJ,チバケンスイドウ,"-5,420",,
2017/4/20,ガス,楽天カード,トウキヨウガス 1195-614,"-11,948",,
2017/4/23,高速,セゾンカード,ETC東日本(成田→四街道),-810,,
2017/4/23,高速,セゾンカード,ETC特別割引(千葉北→佐原香取),"-1,340",,
2017/4/26,保険,UFJ,ソンポジヤパン,"-3,290",,
2017/4/26,インターネット,UFJ,ヤフージャパン,-498,,
2017/4/27,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2017/4/27,カード返済,UFJ,ラクテンカードサービス,"-61,248",,
2017/4/29,高速,セゾンカード,ETC特別割引(穴川中→木更津南),"-1,010",,
2017/4/30,インターネット,楽天カード,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580",,
2017/4/30,携帯電話,楽天カード,ドコモご利用料金 05ガツブン,"-14,481",,
2017/5/1,水道,UFJ,ゲスイシヨウリヨウ,"-3,276",,
2017/5/2,給料,UFJ,シンワツウシンコウギヨウ(カ,"271,077",,
2017/5/3,ATM引き出し,UFJ,リヨウキヨク09592,"-30,000",,
2017/5/3,手数料,UFJ,手数料,-216,,
2017/5/3,高速,セゾンカード,ETC環境割引(石川町→臨海副都心),-930,,
2017/5/3,高速,セゾンカード,ETC首都高速(市川本線→横浜公園下),"-1,300",,
2017/5/3,高速,セゾンカード,ETC東日本(千葉北→湾岸市川),-760,,
2017/5/3,ガソリン,楽天カード,ナガヌマ エスエス,"-4,421",,
2017/5/5,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2017/5/5,手数料,UFJ,手数料,-216,,
2017/5/5,高速,セゾンカード,ETC首都高速(市川本線→有明),-670,,
2017/5/5,高速,セゾンカード,ETC東日本(千葉西→穴川西),-250,,
2017/5/5,高速,セゾンカード,ETC東日本(船橋本線下→船橋本線下),-250,,
2017/5/5,高速,セゾンカード,ETC東日本(湾岸習志野→湾岸市川),-410,,
2017/5/6,高速,セゾンカード,ETC特別割引(穴川中→君津スマー),"-1,090",,
2017/5/8,ローン,UFJ,ローン,"-68,086",,
2017/5/9,電話,楽天カード,NTT東日本 ご利用料金 05ガツブン,"-2,178",,
2017/5/9,その他,楽天カード,システムリヨウリヨウ チバケンセ,-324,,
2017/5/9,税金,楽天カード,チバケンジドウシヤゼイ,"-45,400",,
2017/5/15,管理費,UFJ,RKS(カンリヒトウ,"-20,170",,
2017/5/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2017/5/18,その他,楽天カード,G R L 03-6832-1290,"-4,689",,
2017/5/23,ガス,楽天カード,トウキヨウガス 1195-614,"-10,941",,
2017/5/26,保険,UFJ,ソンポジヤパン,"-3,290",,
2017/5/26,インターネット,UFJ,ヤフージャパン,-498,,
2017/5/26,その他,楽天カード,G R L 03-6832-1290,"-4,931",,
2017/5/27,振替,みずほ ゆーき,ネツト ヤマザキ ユウキ,"-67,200",,
2017/5/27,手数料,みずほ ゆーき,振込手数料,-432,,
2017/5/27,その他,楽天カード,タイム,"-5,240",,
2017/5/27,ガソリン,楽天カード,ナガヌマ エスエス,"-4,608",,
2017/5/28,ATM引き出し,UFJ,ATM 引き出し,"-25,000",,
2017/5/29,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2017/5/29,管理費,UFJ,RKS(カンリヒトウ,"-20,170",,
2017/5/29,水道,UFJ,チバケンスイドウ,"-5,900",,
2017/5/29,その他,UFJ,ヤマザキ ユウキ,"67,200",,
2017/5/29,カード返済,UFJ,ラクテンカードサービス,"-58,857",,
2017/5/29,学費,楽天カード,ベネッセコーポレーション,"-67,200",,
2017/5/31,インターネット,楽天カード,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580",,
2017/5/31,携帯電話,楽天カード,ドコモご利用料金 06ガツブン,"-14,591",,
2017/5/31,その他,楽天カード,フオトスポツト,"-1,500",,
2017/6/3,ATM引き出し,UFJ,ATM 引き出し,"-10,000",,
2017/6/4,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2017/6/4,その他,楽天カード,イオンリテール 0006850000000 00000,"-19,185",,
2017/6/5,給料,UFJ,シンワツウシンコウギヨウ(カ,"231,694",,
2017/6/5,カード返済,UFJ,セゾン,"-1,790",,
2017/6/6,ローン,UFJ,ローン,"-68,086",,
2017/6/9,電話,楽天カード,NTT東日本 ご利用料金 06ガツブン,"-2,151",,
2017/6/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2017/6/18,高速,セゾンカード,ETC首都高速(浦安第二→東関東道接),-370,,
2017/6/18,高速,セゾンカード,ETC東日本(湾岸市川→穴川西),-640,,
2017/6/19,車,UFJ,JAFネンカイヒ,"-4,000",,
2017/6/22,ガス,楽天カード,トウキヨウガス 1195-614,"-10,846",,
2017/6/26,保険,UFJ,ソンポジヤパン,"-3,290",,
2017/6/26,インターネット,UFJ,ヤフージャパン,-498,,
2017/6/27,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2017/6/27,カード返済,UFJ,ラクテンカードサービス,"-169,493",,
2017/6/30,水道,UFJ,ゲスイシヨウリヨウ,"-3,636",,
2017/6/30,インターネット,楽天カード,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580",,
2017/6/30,携帯電話,楽天カード,ドコモご利用料金 07ガツブン,"-14,612",,
2017/7/5,給料,UFJ,シンワツウシンコウギヨウ(カ,"234,117",,
2017/7/6,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2017/7/6,ローン,UFJ,ローン,"-68,086",,
2017/7/8,その他,楽天カード,三井アウトレットパーク木更津 6029111210534,"-4,935",,
2017/7/9,電話,楽天カード,NTT東日本 ご利用料金 07ガツブン,"-2,151",,
2017/7/10,ATM引き出し,UFJ,イオンギンコウ,"-20,000",,
2017/7/10,カード返済,UFJ,カ)クレデイセゾン,"-8,820",,
2017/7/15,ガソリン,楽天カード,シヨウワシエルセキユ,"-5,539",,
2017/7/17,管理費,UFJ,RKS(カンリヒトウ,"-20,170",,
2017/7/17,ガソリン,楽天カード,ナガヌマ エスエス,"-3,464",,
2017/7/18,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2017/7/21,ガス,楽天カード,トウキヨウガス 1195-614,"-9,912",,
2017/7/26,保険,UFJ,ソンポジヤパン,"-3,450",,
2017/7/26,インターネット,UFJ,ヤフージャパン,-498,,
2017/7/27,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2017/7/27,ローン,UFJ,ニツサンフイナンシヤルS,"-27,072",,
2017/7/28,管理費,UFJ,RKS(カンリヒトウ,"-20,170",,
2017/7/31,水道,UFJ,チバケンスイドウ,"-7,180",,
2017/7/31,インターネット,楽天カード,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580",,
2017/7/31,携帯電話,楽天カード,ドコモご利用料金 08ガツブン,"-14,594",,
2017/8/1,収入,UFJ,ケンミンキヨウサイ セ,"34,404",,
2017/8/2,駐車場,UFJ,カイヒンフドウサン(カ,"-8,000",,
2017/8/4,給料,UFJ,シンワツウシンコウギヨウ(カ,"505,552",,
2017/8/5,ATM引き出し,UFJ,ATM 引き出し,"-85,000",,
2017/8/5,その他,UFJ,ヤマザキ ユウキ,"-10,000",,
2017/8/5,カード返済,UFJ,ラクテンカードサービス,"-50,490",,
2017/8/5,ガソリン,楽天カード,ナガヌマ エスエス,"-4,590",,
2017/8/7,ローン,UFJ,ローン,"-68,086",,
2017/8/9,電話,楽天カード,NTT東日本 ご利用料金 08ガツブン,"-2,151",,
2017/8/11,税金,UFJ,チバシコテイ,"-22,000",,
2017/8/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2017/8/15,食費,楽天カード,ギユウカク ミヤノギテン,"-8,542",,
2017/8/16,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2017/8/16,車,楽天カード,シンシアモール 楽天市場店760017,"-9,275",,
2017/8/19,ガソリン,楽天カード,ナガヌマ エスエス,"-5,725",,
2017/8/19,その他,楽天カード,ヤフーウォレットケッサイ ヤフーチ,"-6,648",,
2017/8/22,ATM引き出し,UFJ,イオンギンコウ,"-10,000",,
2017/8/22,手数料,UFJ,手数料,-108,,
2017/8/23,ガス,楽天カード,トウキヨウガス 1195-614,"-10,012",,
2017/8/27,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2017/8/28,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2017/8/28,管理費,UFJ,RKS(カンリヒトウ,"-17,670",,
2017/8/28,保険,UFJ,ソンポジヤパン,"-2,650",,
2017/8/28,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000",,
2017/8/28,インターネット,UFJ,ヤフージャパン,-498,,
2017/8/28,カード返済,UFJ,ラクテンカードサービス,"-44,193",,
2017/8/29,その他,楽天カード,東海メガネ・コンタクト750001,"-3,380",,
2017/8/31,水道,UFJ,ゲスイシヨウリヨウ,"-4,488",,
2017/8/31,インターネット,楽天カード,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580",,
2017/8/31,携帯電話,楽天カード,ドコモご利用料金 09ガツブン,"-14,831",,
2017/9/2,駐車場,UFJ,カイヒンフドウサン(カ,"-8,000",,
2017/9/2,ガソリン,楽天カード,ナガヌマ エスエス,"-4,593",,
2017/9/3,ATM引き出し,UFJ,ATM 引き出し,"-10,000",,
2017/9/4,カード返済,UFJ,セゾン,"-1,010",,
2017/9/5,給料,UFJ,シンワツウシンコウギヨウ(カ,"262,684",,
2017/9/5,その他,UFJ,ヤマザキ ユウキ,"-12,000",,
2017/9/6,ATM引き出し,UFJ,ATM 引き出し,"-60,000",,
2017/9/6,ローン,UFJ,ローン,"-68,086",,
2017/9/9,電話,楽天カード,NTT東日本 ご利用料金 09ガツブン,"-2,197",,
2017/9/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2017/9/15,その他,楽天カード,通信販売専門店コクーン770006,"-3,861",,
2017/9/16,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2017/9/16,手数料,UFJ,手数料,-216,,
2017/9/21,ガス,楽天カード,トウキヨウガス 1195-614,"-11,344",,
2017/9/23,その他,楽天カード,WWW.GROUPON.JP,"-3,920",,
2017/9/24,ガソリン,楽天カード,ナガヌマ エスエス,"-4,925",,
2017/9/26,保険,UFJ,ソンポジヤパン,"-2,650",,
2017/9/26,インターネット,UFJ,ヤフージャパン,-498,,
2017/9/27,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2017/9/27,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000",,
2017/9/27,カード返済,UFJ,ラクテンカードサービス,"-65,117",,
2017/9/28,管理費,UFJ,RKS(カンリヒトウ,"-17,670",,
2017/9/29,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2017/9/29,水道,UFJ,チバケンスイドウ,"-7,440",,
2017/9/30,駐車場,UFJ,カイヒンフドウサン(カ,"-8,000",,
2017/9/30,インターネット,楽天カード,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580",,
2017/9/30,携帯電話,楽天カード,ドコモご利用料金 10ガツブン,"-14,572",,
2017/10/1,食費,楽天カード,スタミナタロウ チバキタテン,"-4,785",,
2017/10/3,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2017/10/5,給料,UFJ,シンワツウシンコウギヨウ(カ,"233,107",,
2017/10/6,その他,UFJ,ヤマザキ ユウキ,"-10,000",,
2017/10/6,ローン,UFJ,ローン,"-68,086",,
2017/10/7,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2017/10/9,電話,楽天カード,NTT東日本 ご利用料金 10ガツブン,"-2,152",,
2017/10/9,ガソリン,楽天カード,ナガヌマ エスエス,"-3,807",,
2017/10/14,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2017/10/14,手数料,UFJ,手数料,-216,,
2017/10/16,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2017/10/16,その他,楽天カード,スクールアイテム専門店カワトー750006,"-6,264",,
2017/10/23,ガス,楽天カード,トウキヨウガス 1195-614,"-10,493",,
2017/10/26,保険,UFJ,ソンポジヤパン,"-2,650",,
2017/10/26,インターネット,UFJ,ヤフージャパン,-498,,
2017/10/26,その他,楽天カード,QOO10 JAPAN,"-2,980",,
2017/10/27,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2017/10/27,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000",,
2017/10/27,カード返済,UFJ,ラクテンカードサービス,"-52,631",,
2017/10/28,駐車場,UFJ,カイヒンフドウサン(カ,"-8,000",,
2017/10/30,管理費,UFJ,RKS(カンリヒトウ,"-17,670",,
2017/10/31,水道,UFJ,ゲスイシヨウリヨウ,"-4,652",,
2017/10/31,インターネット,楽天カード,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580",,
2017/10/31,携帯電話,楽天カード,ドコモご利用料金 11ガツブン,"-14,745",,
2017/11/2,給料,UFJ,シンワツウシンコウギヨウ(カ,"270,824",,
2017/11/3,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2017/11/3,その他,楽天カード,アベイル,"-4,240",,
2017/11/3,その他,楽天カード,イオンモールキサラヅ,"-3,000",,
2017/11/3,その他,楽天カード,イオンモールキサラヅ,"-3,564",,
2017/11/6,カード返済,UFJ,セゾン,"-2,690",,
2017/11/6,ローン,UFJ,ローン,"-68,086",,
2017/11/7,ATM引き出し,UFJ,ATM 引き出し,"-20,000",,
2017/11/7,手数料,UFJ,手数料,-108,,
2017/11/9,電話,楽天カード,NTT東日本 ご利用料金 11ガツブン,"-2,152",,
2017/11/12,その他,楽天カード,ニトリ ネツト,"-13,981",,
2017/11/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2017/11/17,ATM引き出し,UFJ,ATM 引き出し,"-30,000",,
2017/11/18,ATM引き出し,UFJ,イオンギンコウ,"-30,000",,
2017/11/18,手数料,UFJ,手数料,-108,,
2017/11/18,灯油,楽天カード,ナガヌマ エスエス,"-1,296",,
2017/11/18,ガソリン,楽天カード,ナガヌマ エスエス,"-3,933",,
2017/11/21,ガス,楽天カード,トウキヨウガス 1195-614,"-11,815",,
2017/11/25,灯油,楽天カード,ナガヌマ エスエス,"-1,332",,
2017/11/26,ATM引き出し,UFJ,ATM 引き出し,"-10,000",,
2017/11/26,手数料,UFJ,手数料,-216,,
2017/11/27,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2017/11/27,保険,UFJ,ソンポジヤパン,"-2,650",,
2017/11/27,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000",,
2017/11/27,インターネット,UFJ,ヤフージャパン,-498,,
2017/11/28,管理費,UFJ,RKS(カンリヒトウ,"-17,670",,
2017/11/28,駐車場,UFJ,カイヒンフドウサン(カ,"-8,000",,
2017/11/29,ATM引き出し,UFJ,ATM 引き出し,"-10,000",,
2017/11/29,水道,UFJ,チバケンスイドウ,"-7,700",,
2017/11/30,インターネット,楽天カード,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580",,
2017/11/30,携帯電話,楽天カード,ドコモご利用料金 12ガツブン,"-14,648",,
2017/12/3,その他,楽天カード,ネツトプリントジヤパン,"-5,440",,
2017/12/5,給料,UFJ,シンワツウシンコウギヨウ(カ,"362,475",,
2017/12/6,ATM引き出し,UFJ,ATM 引き出し,"-50,000",,
2017/12/6,その他,UFJ,ヤマザキ ユウキ,"-5,000",,
2017/12/6,ローン,UFJ,ローン,"-68,086",,
2017/12/8,カード返済,UFJ,ラクテンカードサービス,"-48,764",,
2017/12/9,ATM引き出し,UFJ,ATM 引き出し,"-50,000",,
2017/12/9,食費,楽天カード,MEGAドン・キホーテ四街道店 6593300217009 38403,"-7,053",,
2017/12/9,電話,楽天カード,NTT東日本 ご利用料金 12ガツブン,"-2,152",,
2017/12/9,その他,楽天カード,アベイル,"-4,260",,
2017/12/9,その他,楽天カード,アベイル,"-4,980",,
2017/12/9,その他,楽天カード,ワークマン,"-12,700",,
2017/12/10,灯油,楽天カード,ナガヌマ エスエス,"-2,772",,
2017/12/13,収入,UFJ,Jホケンキン アイオイN,"672,300",,
2017/12/13,振込手数料,UFJ,フリコミ テスウリヨウ,-324,,
2017/12/13,その他,UFJ,ヤマザキ ユウキ,"-200,000",,
2017/12/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2017/12/15,ボーナス,UFJ,シンワツウシンコウギヨウ(カ,"517,886",,
2017/12/17,ATM引き出し,UFJ,ATM 引き出し,"-100,000",,
2017/12/17,ATM引き出し,UFJ,ATM 引き出し,"-200,000",,
2017/12/17,手数料,UFJ,手数料,-216,,
2017/12/20,ガス,楽天カード,トウキヨウガス 1195-614,"-12,263",,
2017/12/23,ガソリン,楽天カード,ナガヌマ エスエス,"-4,743",,
2017/12/24,灯油,楽天カード,ナガヌマ エスエス,"-1,422",,
2017/12/25,税金,UFJ,チバシコテイ,"-22,000",,
2017/12/26,保険,UFJ,ソンポジヤパン,"-2,650",,
2017/12/26,インターネット,UFJ,ヤフージャパン,-498,,
2017/12/27,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2017/12/27,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000",,
2017/12/27,カード返済,UFJ,ラクテンカードサービス,"-63,638",,
2017/12/28,管理費,UFJ,RKS(カンリヒトウ,"-17,670",,
2017/12/28,給料,UFJ,シンワツウシンコウギヨウ(カ,"362,687",,
2017/12/29,高速,セゾンカード,ETC東日本(富浦→穴川東),"-2,450",,
2017/12/30,ガソリン,楽天カード,ナガヌマ エスエス,"-5,099",,
2017/12/31,インターネット,楽天カード,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,580",,
